station_name,address
会津水沼,大沼郡金山町大字水沼字桑畑
会津中川,大沼郡金山町大字中川
会津川口,大沼郡金山町大字川口字森ノ上
本名,大沼郡金山町大字本名
会津越川,大沼郡金山町大字越川
会津横田,大沼郡金山町大字横田
会津大塩,大沼郡金山町大字大塩
会津塩沢,南会津郡只見町大字塩沢字上田
会津蒲生,南会津郡只見町大字蒲生字久保
只見,南会津郡只見町大字只見字上ノ原
大白川,魚沼市大白川
入広瀬,魚沼市大栃山
上条,魚沼市渋川
越後須原,魚沼市須原
魚沼田中,魚沼市田中
越後広瀬,魚沼市並柳
藪神,魚沼市今泉
小出,魚沼市四日町
いわき,いわき市平字田町
赤井,いわき市平赤井
小川郷,いわき市小川町高萩
江田,いわき市小川町上小川字江田
川前,いわき市川前町大字川前字中の萱
夏井,田村郡小野町大字夏井字町屋
小野新町,田村郡小野町大字谷津作字平館
神俣,田村市滝根町神俣
菅谷,田村市滝根町菅谷
大越,田村市大越町上大越
磐城常葉,田村市船引町今泉字田中
船引,田村市船引町船引
要田,田村市船引町要田
三春,田村郡三春町大字平沢字担橋
舞木,郡山市舞木町字平
黒磯,那須塩原市本町
高久,那須郡那須町大字高久甲西久保７２０-４
黒田原,那須郡那須町大字寺子丙
豊原,那須郡那須町大字豊原
白坂,白河市白坂
新白河,西白河郡西郷村小田倉
白河,白河市字郭内
久田野,白河市大字久田野字田中
泉崎,西白河郡泉崎村大字泉崎字館
矢吹,西白河郡矢吹町中町
鏡石,岩瀬郡鏡石町大字笠石字中央
須賀川,須賀川市中山
安積永盛,郡山市笹川３丁目
日和田,郡山市日和田町字小堰
五百川,本宮市荒井字新介
本宮,本宮市本宮字九縄
杉田,二本松市杉田町１丁目
二本松,二本松市本町２丁目
安達,二本松市油井字古屋敷
松川,福島市松川町字原
金谷川,福島市松川町関谷字坂下
南福島,福島市永井川字壇ノ腰
東福島,福島市宮代字段ノ腰
伊達,伊達市細谷
桑折,伊達郡桑折町大字南半田字六角
藤田,伊達郡国見町大字山崎字北町田
貝田,伊達郡国見町大字貝田字竹ノ根
越河,白石市越河五賀字海道下
白石,白石市字沢目
東白石,白石市白川内親字阿久土
北白川,白石市白川津田字下谷地
大河原,柴田郡大河原町大谷字向
船岡,柴田郡柴田町船岡中央１丁目
槻木,柴田郡柴田町大字槻木字畑中
岩沼,岩沼市館下１丁目
館腰,名取市植松４丁目
名取,名取市増田２丁目５番地１
南仙台,仙台市太白区中田町５丁目
太子堂,仙台市太白区太子堂１丁目２０番地
長町,仙台市太白区長町５丁目
東仙台,仙台市宮城野区東仙台１丁目
岩切,仙台市宮城野区岩切字洞ノ口
新利府,宮城郡利府町字谷地脇
利府,宮城郡利府町森郷柱田
陸前山王,多賀城市山王字干刈田
国府多賀城,多賀城市浮島一丁目１-２６６
塩釜,塩竈市東玉川町
松島,宮城郡松島町松島字小梨屋
愛宕,宮城郡松島町松島字三居山
品井沼,宮城郡松島町幡谷鹿渡
鹿島台,大崎市鹿島台平渡字銭神
松山町,大崎市松山金谷字赤沼上
田尻,大崎市田尻沼部字塩加良
瀬峰,栗原市瀬峰下田
梅ケ沢,宮城県登米市迫町新田字外沢田53
新田,登米市迫町新田
石越,登米市石越町南郷
油島,一関市花泉町油島
花泉,一関市花泉町花泉
清水原,一関市花泉町花泉
有壁,栗原市金成
山ノ目,一関市山目町３丁目
平泉,西磐井郡平泉町平泉
前沢,奥州市前沢区三日町新裏
陸中折居,奥州市水沢区真城
水沢,奥州市水沢区中町
金ケ崎,岩手県胆沢郡金ケ崎町西根杉土手2-1
六原,胆沢郡金ケ崎町大字三ケ尻
村崎野,北上市飯豊町字村崎野
花巻空港,花巻市二枚橋
石鳥谷,花巻市石鳥谷町好地
